 2 	0 	5 	RP
 3 	0 	7 	RP
 4 	4 	10 	RP
 5 	0 	5 	RP
 6 	2 	2 	RP
 7 	2 	4 	RP
 8 	4 	9 	RP
 9 	0 	2 	RP
 10 	4 	7 	RP
 4 	0 	1 	DP
 1 	1 	2 	DP
 6 	3 	3 	DP
 5 	4 	4 	DP
 6 	1 	5 	DP
 3 	4 	6 	DP
 3 	2 	6 	DP
 1 	3 	7 	DP
 1 	2 	7 	DP
 1 	4 	8 	DP
 1 	0 	8 	DP
 6 	0 	9 	DP
 6 	4 	10 	DP
 2 	1 	6 	BP
 2 	2 	8 	BP
 2 	3 	7 	BP
 2 	4 	3 	BP
 3 	1 	9 	BP
 3 	3 	9 	BP
 4 	1 	10 	BP
 4 	2 	7 	BP
 4 	3 	7 	BP
 5 	1 	5 	BP
 5 	2 	9 	BP
 5 	3 	5 	BP
 7 	0 	8 	BP
 7 	1 	9 	BP
 7 	3 	5 	BP
 7 	4 	3 	BP
 8 	0 	9 	BP
 8 	1 	3 	BP
 8 	2 	7 	BP
 8 	3 	7 	BP
 9 	1 	6 	BP
 9 	2 	9 	BP
 9 	3 	3 	BP
 9 	4 	8 	BP
 10 	0 	2 	BP
 10 	1 	6 	BP
 10 	2 	7 	BP
 10 	3 	9 	BP
